file,inboundCount,inKnip,inRoutes,inAssets,score
src/pages/ProjectShowcase.tsx,0,false,true,false,5
src/pages/SamplePreview.tsx,0,false,true,false,5
src/pages/test-chat-debug.tsx,0,false,true,false,5
src/pages/test-chat-smoke.tsx,0,false,true,false,5
src/pages/test-chat-stability.tsx,0,false,true,false,5
src/services/validation-components.ts,0,false,true,false,5
src/utils/lazy-components.tsx,0,false,true,false,5
public/.DS_Store,0,false,false,true,5
public/_redirects,0,false,false,true,5
public/animations/LivingHistoryPreservingCommunityStories.webm,0,false,false,true,5
public/images/.DS_Store,0,false,false,true,5
public/images/.keep,0,false,false,true,5
public/images/hero-projects/.DS_Store,0,false,false,true,5
public/images/hero-projects/sustainability-campaign/.gitkeep,0,false,false,true,5
